bucket,rookie_cost_per_war_mil,rookie_cost_q25_mil,rookie_cost_q75_mil,war_med,cost_med,market_cost_q25_mil,market_cost_q50_mil,market_cost_q75_mil,arbitrage_zone,market_equiv_cost_4yr,surplus_4yr_mil
01-05,1.050341314240203,0.6340018635452322,2.554509406351228,8.38284548312848,32237735.0,1.5299589424492812,3.534035020333505,8.540894559867828,BUY,29625269.50742059,-2.6124654925794117
06-10,1.5082291540968633,0.6005165349314595,5.432716149940691,4.025417811019243,22576271.0,1.5299589424492812,3.534035020333505,8.540894559867828,NEUTRAL,14225967.515616242,-8.350303484383758
11-20,1.0069586812816371,0.3469878677526372,2.9529252825233434,2.97718280720863,15044813.0,1.5299589424492812,3.534035020333505,8.540894559867828,BUY,10521468.302610112,-4.523344697389888
21-30,0.5952968147599951,0.2619986349844113,1.1800187214544213,3.8073899552799157,10766178.5,1.5299589424492812,3.534035020333505,8.540894559867828,BUY,13455449.438025238,2.689270938025238
31-45,0.6937706049157073,0.3638472117556221,1.5956905367519776,2.574136123817443,7217751.0,1.5299589424492812,3.534035020333505,8.540894559867828,BUY,9097087.208676387,1.8793362086763867
46-60,2.155543386550301,0.3358061177258542,4.0503322841009375,0.361236502593111,2562901.0,1.5299589424492812,3.534035020333505,8.540894559867828,NEUTRAL,1276622.4507868493,-1.2862785492131508
