bucket,median,q25,q75,war_med,cost_med,market_q25,market_q50,market_q75,arbitrage_zone,market_equiv_cost_4yr,surplus_4yr
01-05,1050341.314240203,634001.8635452322,2554509.4063512282,8.38284548312848,32237735.0,1529958.9424492812,3534035.020333505,8540894.55986783,BUY,29625269.50742059,-2612465.4925794117
06-10,1508229.1540968632,600516.5349314595,5432716.149940691,4.025417811019243,22576271.0,1529958.9424492812,3534035.020333505,8540894.55986783,NEUTRAL,14225967.515616242,-8350303.484383758
11-20,1006958.6812816372,346987.8677526372,2952925.2825233433,2.97718280720863,15044813.0,1529958.9424492812,3534035.020333505,8540894.55986783,BUY,10521468.302610112,-4523344.697389888
21-30,595296.8147599951,261998.6349844113,1180018.7214544213,3.8073899552799157,10766178.5,1529958.9424492812,3534035.020333505,8540894.55986783,BUY,13455449.438025238,2689270.938025238
31-45,693770.6049157073,363847.2117556221,1595690.5367519776,2.574136123817443,7217751.0,1529958.9424492812,3534035.020333505,8540894.55986783,BUY,9097087.208676387,1879336.2086763866
46-60,2155543.3865503008,335806.1177258542,4050332.2841009377,0.361236502593111,2562901.0,1529958.9424492812,3534035.020333505,8540894.55986783,NEUTRAL,1276622.4507868493,-1286278.5492131507
