bucket,median,q25,q75,war_med,cost_med,market_q25,market_q50,market_q75,arbitrage_zone,market_equiv_cost_4yr,surplus_4yr
01-05,1050341.314240203,634001.8635452322,2554509.4063512282,8.38284548312848,32237735.0,1390871.7658629827,3212759.109394095,7764449.599879843,BUY,26932063.18856417,-5305671.81143583
06-10,1508229.1540968632,600516.5349314595,5432716.149940691,4.025417811019243,22576271.0,1390871.7658629827,3212759.109394095,7764449.599879843,NEUTRAL,12932697.74146931,-9643573.25853069
11-20,1006958.6812816372,346987.8677526372,2952925.2825233433,2.97718280720863,15044813.0,1390871.7658629827,3212759.109394095,7764449.599879843,BUY,9564971.18419101,-5479841.815808989
21-30,595296.8147599951,261998.6349844113,1180018.7214544213,3.8073899552799157,10766178.5,1390871.7658629827,3212759.109394095,7764449.599879843,BUY,12232226.761841126,1466048.2618411258
31-45,693770.6049157073,363847.2117556221,1595690.5367519776,2.574136123817443,7217751.0,1390871.7658629827,3212759.109394095,7764449.599879843,BUY,8270079.280614897,1052328.2806148967
46-60,2155543.3865503008,335806.1177258542,4050332.2841009377,0.361236502593111,2562901.0,1390871.7658629827,3212759.109394095,7764449.599879843,NEUTRAL,1160565.864351681,-1402335.135648319
