bucket,median,q25,q75,war_med,cost_med,market_q25,market_q50,market_q75,arbitrage_zone,market_equiv_cost_4yr,surplus_4yr
01-05,1050341.314240203,634001.8635452322,2554509.4063512282,8.38284548312848,32237735.0,1103448.9700942556,2538296.0241902755,5921109.8285360085,NEUTRAL,21278143.361226432,-10959591.638773568
06-10,1508229.1540968632,600516.5349314595,5432716.149940691,4.025417811019243,22576271.0,1103448.9700942556,2538296.0241902755,5921109.8285360085,NEUTRAL,10217702.025414865,-12358568.974585135
11-20,1006958.6812816372,346987.8677526372,2952925.2825233433,2.97718280720863,15044813.0,1103448.9700942556,2538296.0241902755,5921109.8285360085,BUY,7556971.282825309,-7487841.717174691
21-30,595296.8147599951,261998.6349844113,1180018.7214544213,3.8073899552799157,10766178.5,1103448.9700942556,2538296.0241902755,5921109.8285360085,BUY,9664282.786029002,-1101895.7139709983
31-45,693770.6049157073,363847.2117556221,1595690.5367519776,2.574136123817443,7217751.0,1103448.9700942556,2538296.0241902755,5921109.8285360085,BUY,6533919.488810383,-683831.5111896172
46-60,2155543.3865503008,335806.1177258542,4050332.2841009377,0.361236502593111,2562901.0,1103448.9700942556,2538296.0241902755,5921109.8285360085,NEUTRAL,916925.1783244938,-1645975.8216755062
