player_slug,player_name,canonical_name,season_end,war,salary,dollars_per_war
anthoca01,Carmelo Anthony,carmelo anthony,2018,2.687007984,26243760.0,9766908.08373869
anthoca01,Carmelo Anthony,carmelo anthony,2021,0.1680540909579983,3125642.0,18599023.577362306
anthoca01,Carmelo Anthony,carmelo anthony,2022,0.9805771759766458,3054712.0,3115218.337564848
anthoco01,Cole Anthony,cole anthony,2022,0.6991643180040022,3988705.0,5704960.761423135
anunoog01,OG Anunoby,og anunoby,2018,3.051082432,2034120.0,666687.9854395229
anunoog01,OG Anunoby,og anunoby,2020,4.64909263248475,2281800.0,490805.449660501
anunoog01,OG Anunoby,og anunoby,2021,3.821526409939356,4719035.0,1234856.0480247699
anunoog01,OG Anunoby,og anunoby,2022,2.74299909255406,18584157.0,6775123.276725523
arcidry01,Ryan Arcidiacono,ryan arcidiacono,2019,2.227069655,1349383.0,605900.6717506552
arcidry01,Ryan Arcidiacono,ryan arcidiacono,2020,1.82429420797848,3000000.0,1644471.591741955
arcidry01,Ryan Arcidiacono,ryan arcidiacono,2021,0.7209102453569359,3656074.0,5071469.053945558
arcidry01,Ryan Arcidiacono,ryan arcidiacono,2022,0.1671225721840392,895853.0,5360454.834392246
arizatr01,Trevor Ariza,trevor ariza,2017,6.490314799,7806971.0,1202864.7672379257
arizatr01,Trevor Ariza,trevor ariza,2018,3.406579318,7420912.0,2178405.757584653
arizatr01,Trevor Ariza,trevor ariza,2019,0.659834095,15000000.0,22732987.145806704
arizatr01,Trevor Ariza,trevor ariza,2020,1.77843511076337,12195122.0,6857220.66899894
arizatr01,Trevor Ariza,trevor ariza,2021,1.84909053161535,15599250.0,8436174.288542068
arthuda01,Darrell Arthur,darrell arthur,2017,0.192896131,8070175.0,41836894.07435549
augusdj01,D.J. Augustin,dj augustin,2018,2.384190847,7250000.0,3040863.951441887
augusdj01,D.J. Augustin,dj augustin,2019,3.20136588,7250000.0,2264658.358887738
augusdj01,D.J. Augustin,dj augustin,2020,1.29840050908998,7250000.0,5583793.251191317
augusdj01,D.J. Augustin,dj augustin,2021,0.5072984543892438,8124610.0,16015444.024527004
avdijde01,Deni Avdija,deni avdija,2021,0.6082298817902728,5446527.0,8954717.88391687
avdijde01,Deni Avdija,deni avdija,2022,3.914351013351983,5426553.0,1386322.5299646978
aytonde01,Deandre Ayton,deandre ayton,2019,0.50599749,8165160.0,16136759.887880074
aytonde01,Deandre Ayton,deandre ayton,2020,2.84564218220948,9562920.0,3360549.0035907933
aytonde01,Deandre Ayton,deandre ayton,2021,6.561050286077831,12209094.0,1860844.4483205671
aytonde01,Deandre Ayton,deandre ayton,2022,3.961705015981513,14608080.0,3687321.479280013
azubuud01,Udoka Azubuike,udoka azubuike,2022,0.14274316679493,2400438.0,16816482.735377144
babbilu01,Luke Babbitt,luke babbitt,2017,1.321866054,1227286.0,928449.5931234497
bacondw01,Dwayne Bacon,dwayne bacon,2019,0.122323133,1378242.0,11267222.856366834
baglema01,Marvin Bagley III,marvin bagley,2021,0.1117922931387676,10923911.0,97716136.71472117
baglema01,Marvin Bagley III,marvin bagley,2022,1.006485953995794,13080735.0,12996440.683616994
bakerro01,Ron Baker,ron baker,2017,1.014834125,543471.0,535526.926629512
bakerro01,Ron Baker,ron baker,2018,0.747135318,4544000.0,6081896.9342311295
bakerro01,Ron Baker,ron baker,2019,0.068610662,948580.0,13825547.988445293
baldwwa01,Wade Baldwin IV,wade baldwin,2018,0.238614221,229892.0,963446.3488242808
ballla01,LaMelo Ball,lamelo ball,2021,2.308454455736256,9554492.0,4138912.9320953833
ballla01,LaMelo Ball,lamelo ball,2022,6.074391027392224,9518775.0,1567033.6264286353
balllo01,Lonzo Ball,lonzo ball,2018,3.040284621,6286560.0,2067753.7742937522
balllo01,Lonzo Ball,lonzo ball,2019,1.776008115,7461960.0,4201534.856162524
balllo01,Lonzo Ball,lonzo ball,2020,2.25847992560661,8719320.0,3860702.900716755
balllo01,Lonzo Ball,lonzo ball,2021,4.085533986725798,13410215.0,3282365.3024478024
balllo01,Lonzo Ball,lonzo ball,2022,3.545859532037733,21513442.0,6067200.859374331
bambamo01,Mo Bamba,mo bamba,2020,1.74457122504705,5697600.0,3265902.772095957
bambamo01,Mo Bamba,mo bamba,2022,1.136567678060403,8752097.0,7700462.6903835535
banede01,Desmond Bane,desmond bane,2021,1.187107162768468,2359922.0,1987960.3746104904
banede01,Desmond Bane,desmond bane,2022,9.345490071032632,2351039.0,251569.3647021575
bantoda01,Dalano Banton,dalano banton,2022,0.0827199263159973,1069919.0,12934235.409166306
barbole01,Leandro Barbosa,leandro barbosa,2017,0.316675595,4000000.0,12631222.813365204
bareajo01,J.J. Barea,jj barea,2017,2.034798515,4096950.0,2013442.593848168
bareajo01,J.J. Barea,jj barea,2018,3.600320086,3903900.0,1084320.2567406392
bareajo01,J.J. Barea,jj barea,2019,1.52230274,3710850.0,2437655.731999799
bareajo01,J.J. Barea,jj barea,2020,0.761038448953537,1620564.0,2129411.4669611636
barneha02,Harrison Barnes,harrison barnes,2017,3.55432082,22116750.0,6222496.820081649
barneha02,Harrison Barnes,harrison barnes,2018,1.638759333,23112004.0,14103354.613816256
barneha02,Harrison Barnes,harrison barnes,2019,1.915820103,24107258.0,12583257.667173566
barneha02,Harrison Barnes,harrison barnes,2020,1.70955395901993,24147727.0,14125162.22292489
barneha02,Harrison Barnes,harrison barnes,2021,4.177446722173554,27074338.0,6481073.20107557
barneha02,Harrison Barnes,harrison barnes,2022,2.967496496799782,23455458.0,7904123.231584239
barnema02,Matt Barnes,matt barnes,2017,0.710132126,242224.0,341097.0876143688
barnesc01,Scottie Barnes,scottie barnes,2022,5.022354503459047,8418672.0,1676240.0969907255
barrerj01,RJ Barrett,rj barrett,2021,3.725062434379419,10031975.0,2693102.512165353
barrerj01,RJ Barrett,rj barrett,2022,1.453869685788175,9972248.0,6859107.179605181
bartowi01,Will Barton,will barton,2017,1.679492457,3533333.0,2103809.9845422525
bartowi01,Will Barton,will barton,2018,4.9405736,3533333.0,715166.5547498373
bartowi01,Will Barton,will barton,2020,5.12838333634604,12776786.0,2491386.692848789
bartowi01,Will Barton,will barton,2021,0.8833648760677191,16724363.0,18932565.073730536
bartowi01,Will Barton,will barton,2022,0.9758200067300596,18067930.0,18515638.002283875
bassech01,Charles Bassey,charles bassey,2022,0.1681764120768467,1069919.0,6361885.039568511
basspa01,Paris Bass,paris bass,2022,0.0028556479401273,122979.0,43065182.605989516
