season_end,pick,team,player_name,player_slug,canonical_name
2017,43,HOU,Isaiah Hartenstein,harteis01,isaiah hartenstein
2017,44,NYK,Damyean Dotson,dotsoda01,damyean dotson
2017,45,HOU,Dillon Brooks,brookdi01,dillon brooks
2017,46,PHI,Sterling Brown,brownst02,sterling brown
2017,47,IND,Ike Anigbogu,anigbik01,ike anigbogu
2017,48,MIL,Sindarius Thornwell,thornsi01,sindarius thornwell
2017,49,DEN,Vlatko ÄanÄar,cancavl01,vlatko aanaar
2017,50,PHI,Mathias Lessort,lessoma01,mathias lessort
2017,51,DEN,Monte Morris,morrimo01,monte morris
2017,52,NOP,Edmond Sumner,sumneed01,edmond sumner
2017,53,BOS,Kadeem Allen,allenka01,kadeem allen
2017,54,PHO,Alec Peters,peteral01,alec peters
2017,55,UTA,Nigel Williams-Goss,willini01,nigel williams goss
2017,56,BOS,Jabari Bird,birdja01,jabari bird
2017,57,BRK,Sasha Vezenkov,vezenal01,sasha vezenkov
2017,58,NYK,Ognjen Jaramaz,jaramog01,ognjen jaramaz
2017,59,SAS,Jaron Blossomgame,blossja01,jaron blossomgame
2017,60,ATL,Alpha Kaba,kabaal01,alpha kaba
2018,1,PHO,Deandre Ayton,aytonde01,deandre ayton
2018,2,SAC,Marvin Bagley III,baglema01,marvin bagley
2018,3,ATL,Luka DonÄiÄ,doncilu01,luka donaia
2018,4,MEM,Jaren Jackson Jr.,jacksja02,jaren jackson
2018,5,DAL,Trae Young,youngtr01,trae young
2018,6,ORL,Mo Bamba,bambamo01,mo bamba
2018,7,CHI,Wendell Carter Jr.,cartewe01,wendell carter
2018,8,CLE,Collin Sexton,sextoco01,collin sexton
2018,9,NYK,Kevin Knox,knoxke01,kevin knox
2018,10,PHI,Mikal Bridges,bridgmi01,mikal bridges
2018,11,CHO,Shai Gilgeous-Alexander,gilgesh01,shai gilgeous alexander
2018,12,LAC,Miles Bridges,bridgmi02,miles bridges
2018,13,LAC,Jerome Robinson,robinje01,jerome robinson
2018,14,DEN,Michael Porter Jr.,portemi01,michael porter
2018,15,WAS,Troy Brown Jr.,browntr01,troy brown
2018,16,PHO,Zhaire Smith,smithzh01,zhaire smith
2018,17,MIL,Donte DiVincenzo,divindo01,donte divincenzo
2018,18,SAS,Lonnie Walker IV,walkelo01,lonnie walker
2018,19,ATL,Kevin Huerter,huertke01,kevin huerter
2018,20,MIN,Josh Okogie,okogijo01,josh okogie
2018,21,UTA,Grayson Allen,allengr01,grayson allen
2018,22,CHI,Chandler Hutchison,hutchch01,chandler hutchison
2018,23,IND,Aaron Holiday,holidaa01,aaron holiday
2018,24,POR,Anfernee Simons,simonan01,anfernee simons
2018,25,LAL,Moritz Wagner,wagnemo01,moritz wagner
2018,26,PHI,Landry Shamet,shamela01,landry shamet
2018,27,BOS,Robert Williams,williro04,robert williams
2018,28,GSW,Jacob Evans,evansja02,jacob evans
2018,29,BRK,DÅ¾anan Musa,musadz01,da34anan musa
2018,30,ATL,Omari Spellman,spellom01,omari spellman
2018,31,PHO,Elie Okobo,okoboel01,elie okobo
2018,32,MEM,Jevon Carter,carteje01,jevon carter
2018,33,DAL,Jalen Brunson,brunsja01,jalen brunson
2018,34,ATL,Devonte' Graham,grahade01,devonte graham
2018,35,ORL,Melvin Frazier,frazime01,melvin frazier
2018,36,NYK,Mitchell Robinson,robinmi01,mitchell robinson
2018,37,SAC,Gary Trent Jr.,trentga02,gary trent
2018,38,PHI,Khyri Thomas,thomakh01,khyri thomas
2018,39,PHI,Isaac Bonga,bongais01,isaac bonga
2018,40,BRK,Rodions Kurucs,kurucro01,rodions kurucs
2018,41,ORL,Jarred Vanderbilt,vandeja01,jarred vanderbilt
2018,42,DET,Bruce Brown,brownbr01,bruce brown
2018,43,DEN,Justin Jackson,jacksju02,justin jackson
2018,44,WAS,Issuf Sanon,sanonis01,issuf sanon
2018,45,BRK,Hamidou Diallo,diallha01,hamidou diallo
2018,46,HOU,De'Anthony Melton,meltode01,deanthony melton
2018,47,LAL,Svi Mykhailiuk,mykhasv01,svi mykhailiuk
2018,48,MIN,Keita Bates-Diop,bateske01,keita bates diop
2018,49,SAS,Chimezie Metu,metuch01,chimezie metu
2018,50,IND,Alize Johnson,johnsal02,alize johnson
2018,51,NOP,Tony Carr,carrto01,tony carr
2018,52,UTA,Vince Edwards,edwarvi01,vince edwards
2018,53,OKC,Devon Hall,hallde01,devon hall
2018,54,DAL,Shake Milton,miltosh01,shake milton
2018,55,CHO,Arnoldas Kulboka,kulboar01,arnoldas kulboka
2018,56,PHI,Ray Spalding,spaldra01,ray spalding
2018,57,OKC,Kevin Hervey,herveke01,kevin hervey
2018,58,DEN,Thomas Welsh,welshth01,thomas welsh
2018,59,PHO,George King,kingge03,george king
2018,60,PHI,Kostas Antetokounmpo,antetko01,kostas antetokounmpo
2019,1,NOP,Zion Williamson,willizi01,zion williamson
