player_slug,player_name,canonical_name,season_end,war,salary
abrinal01,Alex Abrines,alex abrines,2017,1.249007678,5994764.0
abrinal01,Alex Abrines,alex abrines,2018,0.77730446,5725000.0
abrinal01,Alex Abrines,alex abrines,2019,0.17816732,5455236.0
achiupr01,Precious Achiuwa,precious achiuwa,2022,2.262658045779584,3135181.0
acyqu01,Quincy Acy,quincy acy,2017,0.835632018,1790092.0
adamsst01,Steven Adams,steven adams,2017,3.775858111,3140517.0
adamsst01,Steven Adams,steven adams,2018,7.34142524,22471910.0
adamsst01,Steven Adams,steven adams,2019,6.601450742,24157303.0
adamsst01,Steven Adams,steven adams,2020,4.54277467686944,25842697.0
adamsst01,Steven Adams,steven adams,2021,2.630392460475527,36064364.0
adamsst01,Steven Adams,steven adams,2022,5.263587097232344,19742519.0
adebaba01,Bam Adebayo,bam adebayo,2018,1.172123132,2955840.0
adebaba01,Bam Adebayo,bam adebayo,2019,3.451223821,2955840.0
adebaba01,Bam Adebayo,bam adebayo,2020,7.75591618685973,3454080.0
adebaba01,Bam Adebayo,bam adebayo,2021,5.406504063603092,6234206.0
adebaba01,Bam Adebayo,bam adebayo,2022,8.275218537607781,32497412.0
aldrico01,Cole Aldrich,cole aldrich,2017,0.144464506,7643979.0
aldrila01,LaMarcus Aldridge,lamarcus aldridge,2017,3.437144984,20575005.0
aldrila01,LaMarcus Aldridge,lamarcus aldridge,2018,9.076819119,21461010.0
aldrila01,LaMarcus Aldridge,lamarcus aldridge,2019,7.137532501,22347015.0
aldrila01,LaMarcus Aldridge,lamarcus aldridge,2020,2.53091736752676,26000000.0
aldrila01,LaMarcus Aldridge,lamarcus aldridge,2022,2.319517969225026,3054712.0
alexani01,Nickeil Alexander-Walker,nickeil alexander walker,2021,1.087195882880593,3793981.0
allengr01,Grayson Allen,grayson allen,2020,0.497797958711192,2429400.0
allengr01,Grayson Allen,grayson allen,2021,1.81788853796361,3101959.0
allengr01,Grayson Allen,grayson allen,2022,3.122603752274343,4688636.0
allenja01,Jarrett Allen,jarrett allen,2020,5.25173861640531,2376840.0
allenja01,Jarrett Allen,jarrett allen,2021,3.528934388569454,4764964.0
allenja01,Jarrett Allen,jarrett allen,2022,6.460446751955602,23126950.0
allenla01,Lavoy Allen,lavoy allen,2017,0.658282028,4000000.0
allento01,Tony Allen,tony allen,2017,4.148433717,5505618.0
alvarjo01,Jose Alvarado,jose alvarado,2022,3.669789400350585,2226438.0
aminual01,Al-Farouq Aminu,al farouq aminu,2017,3.802896234,7680965.0
aminual01,Al-Farouq Aminu,al farouq aminu,2018,4.759255562,7319035.0
aminual01,Al-Farouq Aminu,al farouq aminu,2019,5.0258856,6957105.0
aminual01,Al-Farouq Aminu,al farouq aminu,2020,0.079502820058186,9258000.0
aminual01,Al-Farouq Aminu,al farouq aminu,2021,0.4506629594549914,11846777.0
anderch01,Chris Andersen,chris andersen,2017,0.084746752,980431.0
anderju01,Justin Anderson,justin anderson,2017,0.451296847,1514160.0
anderju01,Justin Anderson,justin anderson,2018,0.353191785,2516048.0
anderju01,Justin Anderson,justin anderson,2019,0.060024256,2516048.0
anderky01,Kyle Anderson,kyle anderson,2017,2.855148252,1192080.0
anderky01,Kyle Anderson,kyle anderson,2018,5.713083694,2151704.0
anderky01,Kyle Anderson,kyle anderson,2019,1.904689771,8641000.0
anderky01,Kyle Anderson,kyle anderson,2020,1.7104254007473,9073050.0
anderky01,Kyle Anderson,kyle anderson,2021,6.032772565964784,11583784.0
anderky01,Kyle Anderson,kyle anderson,2022,1.876176607307193,11490798.0
anderry01,Ryan Anderson,ryan anderson,2017,3.743713308,18735364.0
anderry01,Ryan Anderson,ryan anderson,2018,2.652481683,19578455.0
antetgi01,Giannis Antetokounmpo,giannis antetokounmpo,2017,12.5596554,2995421.0
antetgi01,Giannis Antetokounmpo,giannis antetokounmpo,2018,12.90944367,24157303.0
antetgi01,Giannis Antetokounmpo,giannis antetokounmpo,2019,14.26986143,24157303.0
antetgi01,Giannis Antetokounmpo,giannis antetokounmpo,2020,13.1496126749663,25842697.0
antetgi01,Giannis Antetokounmpo,giannis antetokounmpo,2021,13.6667962151266,33548245.0
antetgi01,Giannis Antetokounmpo,giannis antetokounmpo,2022,14.97824984891317,45496378.0
antetth01,Thanasis Antetokounmpo,thanasis antetokounmpo,2020,0.046575076444123,1445697.0
antetth01,Thanasis Antetokounmpo,thanasis antetokounmpo,2021,0.5289157304299132,2073716.0
anthoca01,Carmelo Anthony,carmelo anthony,2017,2.032332401,24559380.0
anthoca01,Carmelo Anthony,carmelo anthony,2018,2.687007984,26243760.0
anthoca01,Carmelo Anthony,carmelo anthony,2021,0.1680540909579983,3125642.0
anthoca01,Carmelo Anthony,carmelo anthony,2022,0.9805771759766458,3054712.0
anthoco01,Cole Anthony,cole anthony,2022,0.6991643180040022,3988705.0
anunoog01,OG Anunoby,og anunoby,2018,3.051082432,2034120.0
anunoog01,OG Anunoby,og anunoby,2020,4.64909263248475,2281800.0
anunoog01,OG Anunoby,og anunoby,2021,3.821526409939356,4719035.0
anunoog01,OG Anunoby,og anunoby,2022,2.74299909255406,18584157.0
arcidry01,Ryan Arcidiacono,ryan arcidiacono,2019,2.227069655,1349383.0
arcidry01,Ryan Arcidiacono,ryan arcidiacono,2020,1.82429420797848,3000000.0
arcidry01,Ryan Arcidiacono,ryan arcidiacono,2021,0.7209102453569359,3656074.0
arcidry01,Ryan Arcidiacono,ryan arcidiacono,2022,0.1671225721840392,895853.0
arizatr01,Trevor Ariza,trevor ariza,2017,6.490314799,7806971.0
